time_s,shoulder,elbow,waist
173.097,0.0,5.4,59.2
173.217,0.0,5.4,59.2
173.297,0.0,5.4,59.2
173.409,0.0,5.4,59.2
173.513,0.0,5.4,59.2
173.594,0.0,5.4,59.2
173.695,0.0,5.4,59.2
173.797,0.0,5.4,59.2
173.903,0.0,5.4,59.2
174.001,0.0,5.4,59.2
174.105,0.0,5.4,59.2
174.198,0.0,5.4,59.2
174.3,0.0,5.4,59.2
174.396,0.0,5.4,59.2
174.496,0.0,5.4,59.2
174.597,0.0,5.4,59.2
174.694,0.0,5.4,59.2
174.798,0.0,5.4,59.2
174.897,0.0,5.4,59.2
174.997,0.0,5.4,59.2
175.096,0.0,5.4,59.2
175.195,0.0,5.4,59.2
175.298,0.0,5.4,59.2
175.393,0.0,5.4,59.2
175.504,0.0,5.4,59.2
175.601,0.0,5.4,59.2
175.74,0.0,5.4,59.2
175.824,0.0,5.4,59.2
175.927,0.0,5.4,59.2
176.022,0.0,5.4,59.2
176.111,0.0,5.4,59.2
176.202,0.0,5.4,59.2
176.303,0.0,5.4,59.2
176.4,0.0,5.4,59.2
176.513,0.0,5.4,59.2
176.602,0.0,5.4,59.2
176.716,0.0,5.4,59.2
176.798,0.0,5.4,59.2
176.915,0.0,5.4,59.2
177.0,0.0,5.4,59.2
177.121,0.0,5.4,59.2
177.221,0.0,5.4,59.2
177.311,0.0,5.4,59.2
177.426,0.0,5.4,59.2
177.508,0.0,5.4,59.2
177.62,0.0,2.7,59.2
177.777,0.0,2.7,59.2
177.812,0.0,2.7,59.2
177.911,0.0,2.7,59.2
178.013,0.0,5.4,59.2
178.118,0.0,5.4,59.2
178.196,0.0,5.4,59.2
178.296,0.0,5.4,59.2
178.425,0.0,5.4,59.2
178.526,0.0,5.4,59.2
178.604,0.0,5.4,59.2
178.697,0.0,5.4,59.2
178.805,0.0,5.4,59.2
178.908,0.0,5.4,59.2
179.009,0.0,5.4,59.2
179.106,0.0,5.4,59.2
179.208,0.0,5.4,59.2
179.299,0.0,5.4,59.2
179.4,0.0,5.4,59.2
179.499,0.0,5.4,59.2
179.598,0.0,5.4,59.2
179.694,0.0,5.4,59.2
179.82,0.0,5.4,59.2
179.919,0.0,5.4,59.2
180.024,0.0,5.4,59.2
180.112,0.0,5.4,59.2
180.242,0.0,5.4,59.2
180.38,0.0,5.4,59.2
180.445,0.0,5.4,59.2
180.508,0.0,5.4,59.2
180.614,0.0,5.4,59.2
180.714,0.0,5.4,59.2
180.809,0.0,5.4,59.2
180.925,0.0,5.4,59.2
181.01,0.0,5.4,59.2
181.112,0.0,5.4,59.2
181.212,0.0,5.4,59.2
181.326,0.0,5.4,59.2
181.424,0.0,5.4,59.2
181.519,0.0,5.4,59.2
181.612,0.0,5.4,59.2
181.707,0.0,5.4,59.2
181.805,0.0,5.4,59.2
181.912,0.0,5.4,59.2
182.008,0.0,5.4,59.2
182.122,0.0,5.4,59.2
182.207,0.0,5.4,59.2
182.308,0.0,5.4,59.2
182.408,0.0,5.4,59.2
182.518,0.0,5.4,59.2
182.606,0.0,5.4,59.2
182.704,0.0,5.4,59.2
182.808,0.0,5.4,59.2
182.934,0.0,5.4,59.2
183.028,0.0,5.4,59.2
183.142,0.0,5.4,59.2
183.234,0.0,5.4,59.2
183.337,0.0,5.4,59.2
183.427,0.0,5.4,59.2
183.526,0.0,5.4,59.2
183.639,0.0,5.4,59.2
183.736,0.0,5.4,59.2
183.83,0.0,5.4,59.2
183.925,0.0,5.4,59.2
